s__Enterococcus_B hirae	GCA_000271405.2
s__Protaetiibacter larvae	GCF_008365275.1
s__Lawsonibacter sp000177015	GCF_008727735.1
s__Hymenobacter baengnokdamensis	GCF_008728635.1
s__Paracoccus kondratievae	GCF_009301415.1
s__Heliorestis convoluta	GCF_009649955.1
s__Desulfosarcina widdelii	GCF_009688965.1
s__Mycobacterium avium	GCF_009741445.1
s__Paraburkholderia acidisoli	GCF_009789675.1
s__Terricaulis silvestris	GCF_009792355.1
s__Formosa sp009796865	GCF_009796865.1
s__Chazhemtobacterium aquaticus	GCF_009936135.1
s__Shewanella sp002836315	GCF_010092445.1
s__Staphylococcus sp010365305	GCF_010365305.1
s__Agrobacterium oryzihabitans	GCF_010669145.1
s__Megamonas funiformis	GCF_010669225.1
s__Mycobacterium moriokaense	GCF_010726085.1
s__Mycobacterium duvalii	GCF_010726645.1
s__Mycobacterium mageritense	GCF_010727475.1
s__Mycobacterium marseillense	GCF_010731675.1
s__Mycobacterium stomatepiae	GCF_010731715.1
s__Proteus cibarius	GCF_011045835.1
s__Sphingobacterium lactis	GCF_011046555.1
s__Succinivibrio dextrinosolvens_A	GCF_011065405.1
s__Deinococcus wulumuqiensis	GCF_011067105.1
s__Erysipelothrix sp011301115	GCF_011301115.1
s__Pusillimonas_A sp011388195	GCF_011388195.1
s__Acinetobacter shaoyimingii	GCF_011578045.1
s__Aquisalimonas sp012044895	GCF_012044895.1
s__Mobilicoccus sp012277275	GCF_012277275.1
s__Pseudomonas_F sp003234055	GCF_012767755.2
s__Duganella sp003217375	GCF_012849375.1
s__Turicibacter sanguinis	GCF_013046825.1
s__Mesorhizobium sp013170805	GCF_013170805.1
s__Campylobacter_B corcagiensis	GCF_013201645.1
s__Hymenobacter sp013256425	GCF_013256425.1
s__Qipengyuania mangrovi	GCF_013260645.1
s__Microbacterium hominis_B	GCF_013282805.1
s__Arsenophonus sp000757905	GCF_013460135.1
s__Nocardioides marinisabuli	GCF_013466785.1
s__Nocardioides sp013624415	GCF_013624435.2
s__Neisseria sicca	GCF_014054945.1
s__Sphingomonas alpina_A	GCF_014171475.1
s__Rothia nasimurium_C	GCF_014217215.1
s__Blattabacterium cuenoti_AM	GCF_014251975.1
s__Synechococcus_C sp002500205	GCF_014279775.1
s__Altibacter sp014295415	GCF_014295415.1
s__Nakamurella sp014303395	GCF_014303395.1
s__Corynebacterium sp014490555	GCF_014490555.1
s__Wenzhouxiangella sp014725735	GCF_014725735.1
s__Clavibacter zhangzhiyongii	GCF_014775655.1
s__Flavobacterium sp014844035	GCF_014844035.1
s__Sulfurimonas sp014905095	GCF_014905095.1
s__Acinetobacter lwoffii_E	GCF_015602705.1
s__Pedobacter sp015679185	GCF_015679185.1
s__Lonsdalea populi	GCF_015999465.1
s__CSC3-9 sp016132545	GCF_016132545.1
s__Salicibibacter cibarius	GCF_016495725.1
s__Ruthia sp016592595	GCF_016592595.1
s__Corynebacterium sp001807205	GCF_016728705.1
s__Ralstonia syzygii	GCF_016743075.1
s__Streptomyces pratensis_A	GCF_016804005.1
s__Corynebacterium kroppenstedtii_C	GCF_016889405.1
s__Corynebacterium amycolatum	GCF_016889425.1
s__Rhodanobacter sp001427365	GCF_016889805.1
s__Mycobacterium gordonae_D	GCF_017086405.1
s__Caldicellulosiruptor sp017347585	GCF_017347585.1
s__Parasphingorhabdus sp017498565	GCF_017498565.1
s__Arachnia rubra	GCF_018128325.1
s__Streptomyces sp003814525	GCF_018128905.1
s__Wolbachia sp001439985	GCF_018141665.1
s__Telmatocola sphagniphila	GCF_018398935.1
s__Polynucleobacter sp018687735	GCF_018687735.1
s__Polynucleobacter sp018688255	GCF_018688255.1
s__Paludibacterium paludis	GCF_018802605.1
s__Nriv7 sp018831625	GCF_018831625.1
s__Akkermansia sp001580195	GCF_018847895.1
s__Microbacterium sp001595495	GCF_019056515.1
s__Comamonas sp019186805	GCF_019186805.1
s__Doolittlea endobia	GCF_900039485.1
s__Devriesea agamarum	GCF_900070355.1
s__Polynucleobacter necessarius_K	GCF_900096755.1
s__Tenacibaculum maritimum	GCF_900119795.1
s__Nitrospira_C japonica	GCF_900169565.1
s__Tatlockia lansingensis	GCF_900187355.1
s__Arachnia timonensis	GCF_900343145.1
s__Streptococcus porcinus	GCF_900475415.1
s__Lentilitoribacter sp900537175	GCF_900537175.1
s__Alistipes megaguti	GCF_900604385.1
s__Streptococcus anginosus	GCF_900636475.1
s__Actinobacillus equuli	GCF_900636745.1
s__Brevibacillus brevis	GCF_900637055.1
s__Actinomyces howellii	GCF_900637165.1
s__Cardiobacterium hominis	GCF_900637305.1
s__Mycoplasmopsis meleagridis	GCF_900660695.1
s__Veillonella parvula_A	GCF_902810435.1
s__Chromulinavorax destructans	GCA_003366055.1
s__Yonghaparkia sp012530535	GCA_012530535.1
s__Buchnera aphidicola_H	GCF_000007725.1
s__Porphyromonas gingivalis	GCF_000010505.1
s__Corynebacterium efficiens	GCF_000011305.1
s__Corynebacterium glutamicum	GCF_000011325.1
s__Prochlorococcus_A pastoris	GCF_000011465.1
s__Nitrosococcus oceani	GCF_000012805.1
s__JA-3-3Ab sp000013205	GCF_000013205.1
s__Syntrophus aciditrophicus	GCF_000013405.1
s__Psychrobacter cryohalolentis	GCF_000013905.1
s__Rubrobacter_B xylanophilus	GCF_000014185.1
s__Magnetococcus marinus	GCF_000014865.1
s__Acaryochloris marina	GCF_000018105.1
s__Renibacterium salmoninarum	GCF_000018885.1
s__Elusimicrobium minutum	GCF_000020145.1
s__Hirschia baltica	GCF_000023785.1
s__Sebaldella termitidis	GCF_000024405.1
s__Haliangium ochraceum	GCF_000024805.1
s__Acidaminococcus fermentans	GCF_000025305.1
s__Xenorhabdus bovienii_C	GCF_000027225.1
s__Mycoplasmoides genitalium	GCF_000027325.1
s__Thermus thermophilus	GCF_000091545.1
s__Tsukamurella paurometabola	GCF_000092225.1
s__Brachyspira murdochii	GCF_000092845.1
s__Nocardiopsis dassonvillei	GCF_000092985.1
s__Mesotoga prima	GCF_000147715.2
s__Prevotella sp000163055	GCF_000163055.2
s__Filifactor alocis	GCF_000163895.2
s__Achromobacter xylosoxidans_B	GCF_000165835.1
s__Marinobacter adhaerens	GCF_000166295.1
s__Mesorhizobium opportunistum	GCF_000176035.2
s__Corynebacterium resistens	GCF_000177535.2
s__Cellulosilyticum lentocellum	GCF_000178835.2
s__Granulicella_A mallensis	GCF_000178955.2
s__Intrasporangium calvum	GCF_000184685.1
s__Pseudodesulfovibrio mercurii	GCF_000189295.2
s__Sphaerochaeta globosa	GCF_000190435.1
s__Hippea maritima	GCF_000194135.1
s__Fluviicola taffensis	GCF_000194605.1
s__IMCC9063 sp000195085	GCF_000195085.1
s__Nitrosospira multiformis	GCF_000196355.1
s__Mahella australiensis	GCF_000213255.1
s__Flexistipes sinusarabici	GCF_000218625.1
s__Alicyclobacillus acidocaldarius_A	GCF_000219875.1
s__Buchnera aphidicola_B	GCF_000225465.1
s__Methylophaga nitratireducenticrescens	GCF_000260985.4
s__Myxococcus hansupus	GCF_000280925.3
s__Methylocystis sp000304315	GCF_000304315.1
s__PCC-7407 sp000317045	GCF_000317045.1
s__Mycobacterium neoaurum_A	GCF_000317305.3
s__PCC7113 sp000317515	GCF_000317515.1
s__Thioflavicoccus mobilis	GCF_000327045.1
s__Actinosynnema espanaense	GCF_000328705.1
s__Spiroplasma syrphidicola	GCF_000400955.1
s__Geobacillus sp000445995	GCF_000445995.2
s__Adlercreutzia equolifaciens	GCF_000478885.1
s__Gloeobacter kilaueensis	GCF_000484535.1
s__Ehrlichia muris	GCF_000508225.1
s__Spiroplasma_A culicicola	GCF_000565175.1
s__Ruminococcus_D bicirculans	GCF_000723465.1
s__Jidaibacter sp000730245	GCF_000730245.1
s__Calothrix sp000734895	GCF_000734895.2
s__Treponema_B putidum	GCF_000755145.1
s__Campylobacter_D subantarcticus	GCF_000816305.1
s__Mesomycoplasma dispar	GCF_000941075.1
s__Methylopumilus_A turicensis	GCF_000953015.1
s__Acholeplasma_D palmae	GCF_000968055.1
s__Xenorhabdus bovienii	GCF_000973125.1
s__Corynebacterium kutscheri	GCF_000980835.1
s__Nitrosomonas communis	GCF_001007935.1
s__Cyclobacterium amurskyense	GCF_001050135.1
s__Corynebacterium lactis	GCF_001274895.1
s__Corynebacterium deserti	GCF_001277995.1
s__Rufibacter tibetensis	GCF_001310085.1
s__Lysobacter gummosus	GCF_001442805.1
s__Nitrosomonas ureae	GCF_001455205.1
s__Microbacterium sp001513675	GCF_001513675.1
s__Geminocystis sp001548095	GCF_001548095.1
s__Variovorax sp001577265	GCF_001577265.1
s__Martelella sp001578105	GCF_001578105.1
s__Streptococcus halotolerans	GCF_001598035.1
s__Mycobacterium sp001644575	GCF_001644575.1
s__Pseudomonas_E antarctica_A	GCF_001647715.1
s__Rhizobium sp001664485	GCF_001664485.1
s__Pseudomonas_F sp001708505	GCF_001708505.1
s__Allisonella pneumosintes	GCF_001717505.1
s__Burkholderia cepacia_F	GCF_001718835.1
s__Enterobacter kobei	GCF_001729765.1
s__GCA001735715 sp001735715	GCF_001735715.1
s__Geosporobacter ferrireducens	GCF_001750685.1
s__Enterobacter ludwigii	GCF_001750725.1
s__Sporosarcina ureilytica	GCF_001753205.1
s__Flavobacterium gilvum	GCF_001761465.1
s__Paenibacillus crassostreae	GCF_001857945.1
s__Caldithrix abyssi	GCF_001886815.1
s__Phaeobacter porticola	GCF_001888185.1
s__Corynebacterium ammoniagenes	GCF_001941425.1
s__Halioglobus japonicus	GCF_001983995.1
s__Microbulbifer agarilyticus_A	GCF_001999945.1
s__Streptococcus gallolyticus	GCF_002000985.1
s__Jeotgalibaca dankookensis	GCF_002005405.1
s__Bartonella sp002022665	GCF_002022665.1
s__Frondihabitans sp002074055	GCF_002074055.1
s__Burkholderia acidophila	GCF_002097715.1
s__Sedimentisphaera salicampi	GCF_002117005.1
s__Bordetella_C sp002119685	GCF_002119685.1
s__Kushneria konosiri	GCF_002155145.1
s__Acinetobacter sp002165255	GCF_002165255.2
s__Capnocytophaga endodontalis	GCF_002209445.1
s__Leptotrichia sp002240055	GCF_002240055.1
s__Nanopelagicus hibericus	GCF_002288005.1
s__Clostridium chauvoei	GCF_002327185.1
s__Actinosynnema auranticum	GCF_002354875.1
s__Desulfovibrio trichonymphae	GCF_002355955.1
s__Pseudomonas_E putida_H	GCF_002356095.1
s__Alteromonas pelagimontana	GCF_002499975.2
s__Loigolactobacillus coryniformis	GCF_002706425.1
s__Thalassospira marina	GCF_002844375.1
s__Spiroplasma_A monobiae	GCF_002865545.1
s__Achromobacter spanius_D	GCF_002966795.1
s__Salinicola tamaricis	GCF_003006155.1
s__Gramella fulva	GCF_003024155.1
s__Acinetobacter cumulans	GCF_003024525.3
s__Thauera aromatica	GCF_003030465.1
s__Limnobaculum parvum	GCF_003096015.2
s__Stenotrophomonas maltophilia_AL	GCF_003205835.1
s__Klebsiella huaxiensis	GCF_003261575.2
s__Acidibrevibacterium fodinaquatile	GCF_003352165.1
s__Gryllotalpicola protaetiae	GCF_003627055.1
s__Chryseobacterium sp003815715	GCF_003815715.1
s__Nakamurella sp003860405	GCF_003860405.1
s__Cloacibacterium normanense	GCF_003860565.1
s__Streptomyces sp003945545	GCF_003945545.1
s__Xanthomonas phaseoli	GCF_003999565.1
s__Ralstonia pseudosolanacearum	GCF_003999715.1
s__Agromyces sp004006235	GCF_004006235.1
s__Pseudomonas_E sp004011755	GCF_004011755.1
s__Clostridium_AR sp004015185	GCF_004015185.1
s__Aequorivita sp004022485	GCF_004022485.1
s__Agromyces protaetiae	GCF_004135405.1
s__Leucobacter triazinivorans	GCF_004208635.1
s__Mycoplasmopsis phocirhinis	GCF_004216495.1
s__Limnobaculum zhutongyuii	GCF_004295645.1
s__Rhodococcus sp004328705	GCF_004328705.1
s__Serinicoccus flavus	GCF_004526345.1
s__Cellulomonas shaoxiangyii	GCF_004798685.1
s__Pseudomonas_E sp004803755	GCF_004803755.1
s__Campylobacter_A showae	GCF_004803815.1
s__Echinicola rosea	GCF_005281475.1
s__Ruminiclostridium herbifermentans	GCF_005473905.2
s__Rhodoluna limnophila	GCF_005845365.1
s__Oerskovia sp005937995	GCF_005937995.2
s__Inhella inkyongensis	GCF_005952805.1
s__Hymenobacter jejuensis	GCF_006337165.1
s__Saccharibacillus brassicae	GCF_006542275.1
s__Alistipes dispar	GCF_006542685.1
s__Staphylococcus epidermidis	GCF_006742205.1
s__Rhodoferax_A sediminis	GCF_006970865.1
s__Dialister hominis	GCF_007164725.1
s__Shewanella sp007197555	GCF_007197555.1
s__Thalassotalea_A sp007197775	GCF_007197775.1
s__Arachidicoccus ginsenosidivorans	GCF_007971385.1
s__Leptotrichia wadei_A	GCF_007990445.1
s__Leptotrichia hongkongensis	GCF_007990635.1
s__Cytobacillus dafuensis	GCF_007995155.1
s__Ruania sp008000995	GCF_008000995.1
s__Gemmata obscuriglobus	GCF_008065095.1
s__Acinetobacter sp008630915	GCF_008630915.1
s__Microbacterium caowuchunii	GCF_008727755.1
s__Nitrincola sp008727795	GCF_008727795.1
s__Enterobacter oligotrophicus	GCF_009176645.1
s__Vibrio sp009601765	GCF_009601765.2
s__Vibrio metoecus_B	GCF_009665255.1
s__Sphingobium sp009720145	GCF_009720145.1
s__Streptococcus pseudopneumoniae_E	GCF_009731465.1
s__Guyparkeria halophila	GCF_009734265.1
s__Enterobacter sp000568095	GCF_009755685.1
s__Pelistega ratti	GCF_009833965.1
s__Undibacterium sp009937975	GCF_009937975.1
s__Sulfuriferula_A nivalis	GCF_009937995.1
s__Paenibacillus_Z rhizovicinus	GCF_010365285.1
s__Mycobacterium confluentis	GCF_010729895.1
s__Mycobacterium florentinum	GCF_010730355.1
s__Mycobacterium monacense	GCF_010731575.1
s__Thermosulfuriphilus ammonigenes	GCF_011207455.1
s__Caldichromatium japonicum	GCF_011290485.1
s__Weissella coleopterorum	GCF_011304355.1
s__SCSIO-52909 sp011492945	GCF_011492945.1
s__Microbacterium_A fandaimingii	GCF_011751745.2
s__Phytohabitans flavus	GCF_011764545.1
s__GCA-900066495 sp900545985	GCF_012317385.1
s__Paenibacillus_O sp012676905	GCF_012676905.1
s__Methylococcus sp012769535	GCF_012769535.1
s__ORNL1 sp012971745	GCF_012971745.1
s__Actinomyces sp013185035	GCF_013184985.2
s__Aliarcobacter lanthieri	GCF_013201625.1
s__Flavobacterium sp003096795	GCF_013284035.1
s__Ruthia endofausta	GCF_013342985.1
s__Nostoc sp013343235	GCF_013343235.1
s__Streptomyces sp013364195	GCF_013364195.1
s__Stenotrophomonas sp013364355	GCF_013364355.1
s__Spirosoma sp013375035	GCF_013375035.1
s__Pseudomonas_E fluorescens_AP	GCF_013407925.2
s__Martelella sp013459645	GCF_013459645.1
s__Citrobacter_A sp013836145	GCF_013836145.1
s__Comamonas koreensis	GCF_014076495.1
s__Cohnella sp014107495	GCF_014107495.1
s__Blattabacterium cuenoti_C	GCF_014251735.1
s__Pseudomonas_E sp014268755	GCF_014268755.2
s__Acidobacterium_A sp014274465	GCF_014274465.1
s__Synechococcus_E sp014279755	GCF_014279755.1
s__Novosphingopyxis sp002683755	GCF_014334095.1
s__Aliarcobacter cryaerophilus_A	GCF_014352935.1
s__Thermomonas brevis	GCF_014395425.1
s__Diaphorobacter_A aerolatus	GCF_014489535.1
s__Algoriphagus sp014838715	GCF_014838715.1
s__Vibrio bathopelagicus	GCF_014879975.1
s__Neisseria sp011038745	GCF_014898075.1
s__Sulfurimonas sediminis	GCF_014905115.1
s__Sulfurimonas paralvinellae	GCF_014905135.1
s__Microbacterium sp015040615	GCF_015040615.1
s__Streptomyces chromofuscus	GCF_015160875.1
s__Bradyrhizobium sp015291745	GCF_015291745.1
s__Campylobacter_A concisus_AC	GCF_015679985.1
s__Shewanella putrefaciens	GCF_016406325.1
s__Flocculibacter collagenilyticus	GCF_016469335.1
s__Thermotomaculum hydrothermale	GCF_016592575.1
s__Luteimonas sp016615955	GCF_016615955.1
s__Corynebacterium riegelii	GCF_016728505.1
s__Xanthobacter sp016807805	GCF_016807805.1
s__Azospira_A restricta	GCF_016858125.1
s__Methylomonas sp000702925	GCF_016865255.1
s__Ensifer sp000799055	GCF_016919405.1
s__Rhodococcus sp002165735	GCF_017068395.1
s__Roseomonas sp017355405	GCF_017355405.1
s__Nardonella dryophthoridicola	GCF_017656055.1
s__Phytoplasma luffae	GCF_018024475.1
s__Polycladomyces abyssicola	GCF_018326425.1
s__Serratia plymuthica_B	GCF_018336935.1
s__Streptomyces sp018604545	GCF_018604545.1
s__Alteriqipengyuania sp018636735	GCF_018636735.1
s__Polynucleobacter sp018688375	GCF_018688375.1
s__Azo-2 sp018906035	GCF_018906035.1
s__Citrobacter_A farmeri	GCF_019048065.1
s__Desulfovibrio piger_A	GCF_900116045.1
s__Mycobacterium thermoresistibile	GCF_900187065.1
s__Chlamydophila sp900239975	GCF_900239975.1
s__Gemella morbillorum	GCF_900476045.1
s__Helicobacter_H mustelae	GCF_900476215.1
s__Streptococcus canis	GCF_900636575.1
s__Legionella pascullei	GCF_900637585.1
s__Legionella sainthelensi	GCF_900637685.1
s__Sphingobacterium thalpophilum	GCF_901482695.1
s__Streptococcus porcinus_A	GCF_901542335.1
s__Streptococcus suis_W	GCF_902702775.1
s__Polyangium_A brachysporum	GCA_001017435.1
s__Hankyongella ginsenosidimutans	GCA_005144965.1
s__Rubripirellula sp007741535	GCA_007741535.1
s__R1DC41 sp015482585	GCA_015482585.1
s__Denitromonas sp017309585	GCA_017309585.1
s__Microbacterium sp017968845	GCA_017968845.1
s__Buchnera aphidicola_O	GCF_000007365.1
s__Sulfurovum sp000010345	GCF_000010345.1
s__Bacteroides thetaiotaomicron	GCF_000011065.1
s__Synechococcus_E sp000012625	GCF_000012625.1
s__Altererythrobacter_D litoralis_A	GCF_000013005.1
s__Hyphomonas neptunium	GCF_000013025.1
s__Chlorobium phaeobacteroides	GCF_000015125.1
s__Psychromonas ingrahamii	GCF_000015285.1
s__Bacillus_A cytotoxicus	GCF_000017425.1
s__Gloeothece citriformis	GCF_000021825.1
s__Desulfitobacterium hafniense	GCF_000021925.1
s__Corynebacterium aurimucosum	GCF_000022905.1
s__Corynebacterium kroppenstedtii	GCF_000023145.1
s__Brachybacterium faecium	GCF_000023405.1
s__Pedobacter heparinus	GCF_000023825.1
s__Saccharomonospora viridis	GCF_000023865.1
s__Puniceispirillum marinum	GCF_000024465.1
s__Halothiobacillus neapolitanus	GCF_000024765.1
s__Gordonia bronchialis	GCF_000024785.1
s__Thermocrinis albus	GCF_000025605.1
s__Aminobacterium colombiense	GCF_000025885.1
s__Pseudomonas_E entomophila	GCF_000026105.1
s__Buchnera aphidicola_F	GCF_000090965.1
s__Arcanobacterium haemolyticum	GCF_000092365.1
s__Truepera radiovictrix	GCF_000092425.1
s__Cloacimonas acidaminovorans	GCF_000146065.2
s__Maribacter_A sp000153165	GCF_000153165.2
s__Mycoplasmopsis bovis	GCF_000183385.1
s__Thermaerobacter marianensis	GCF_000184705.1
s__Cellulophaga algicola	GCF_000186265.1
s__Mycobacterium tuberculosis	GCF_000195955.2
s__Erwinia billingiae	GCF_000196615.1
s__Haliscomenobacter hydrossis	GCF_000212735.1
s__Cupriavidus necator	GCF_000219215.1
s__Brachyspira intermedia	GCF_000223215.1
s__Paenibacillus_G mucilaginosus	GCF_000250655.1
s__Microlunatus phosphovorus	GCF_000270245.1
s__Melioribacter roseus	GCF_000279145.1
s__Marinobacter hydrocarbonoclasticus	GCF_000284615.1
s__Alcanivorax_A pacificus	GCF_000299335.2
s__Bordetella pertussis	GCF_000306945.1
s__Hydrococcus sp000317025	GCF_000317025.1
s__Oscillatoria acuminata	GCF_000317105.1
s__Crinalium epipsammum	GCF_000317495.1
s__Endolissoclinum faulkneri	GCF_000319385.1
s__Streptococcus cristatus_B	GCF_000385925.1
s__Spiroplasma_A taiwanense	GCF_000439435.1
s__Halobacillus sp001592845	GCF_000469135.2
s__Blattabacterium sp000471965	GCF_000471965.1
s__Legionella_A oakridgensis	GCF_000512355.1
s__Magnetospirillum gryphiswaldense	GCF_000513295.1
s__Gemmatirosa kalamazoonesis	GCF_000522985.1
s__Paenibacillus sp000758625	GCF_000758625.1
s__Paenibacillus graminis	GCF_000758705.1
s__Pseudoalteromonas piratica	GCF_000788395.1
s__Streptomyces pluripotens	GCF_000802245.2
s__Sulfuritalea hydrogenivorans	GCF_000828635.1
s__Pseudothermotoga_A caldifontis	GCF_000828655.1
s__Winogradskyella sp000828715	GCF_000828715.1
s__Siansivirga zeaxanthinifaciens	GCF_000941055.1
s__Burkholderia oklahomensis	GCF_000959365.1
s__Sneathia vaginalis	GCF_000973085.1
s__Citrobacter_A amalonaticus_C	GCF_000981805.1
s__Bifidobacterium dentium	GCF_001042595.1
s__Companilactobacillus ginsenosidimutans	GCF_001050475.1
s__Nocardia farcinica	GCF_001182745.1
s__Massilia sp001412595	GCF_001412595.2
s__Caulobacter henricii	GCF_001414055.1
s__Pseudohongiella spirulinae	GCF_001444425.1
s__Pantoea vagans_C	GCF_001506165.1
s__Limnochorda pilosa	GCF_001544015.1
s__Desulfovibrio fairfieldensis	GCF_001553605.1
s__Bacillus_A thuringiensis_K	GCF_001595725.1
s__Haematospirillum jordaniae	GCF_001611975.1
s__Geobacillus subterraneus	GCF_001618685.1
s__Dyella_A thiooxydans	GCF_001641285.1
s__Fictibacillus arsenicus_B	GCF_001642935.1
s__Serinicoccus hydrothermalis	GCF_001685415.1
s__Gordonia terrae	GCF_001698225.1
s__Stenotrophomonas nitritireducens_A	GCF_001700965.1
s__Allorhizobium sp001713475	GCF_001713475.1
s__Bosea vaviloviae	GCF_001741865.1
s__Arthrobacter_I sp001750145	GCF_001750145.1
s__Colwellia_A sp001767295	GCF_001767295.1
s__Curtobacterium sp001806325	GCF_001806325.1
s__Flavobacterium commune	GCF_001857965.1
s__Thauera chlorobenzoica	GCF_001922305.1
s__Massilia putida	GCF_001941825.1
s__Seonamhaeicola sp001971785	GCF_001971785.1
s__Janthinobacterium sp002002885	GCF_002002885.1
s__Pseudomonas_E sp002025205	GCF_002025205.1
s__Sporosarcina sp002077155	GCF_002077155.1
s__Rhodovulum sp002079305	GCF_002079305.1
s__Sporosarcina ureae_A	GCF_002082015.1
s__Macrococcus_B canis	GCF_002119805.1
s__Campylobacter sp002139875	GCF_002139875.1
s__Comamonas_E serinivorans	GCF_002158865.1
s__Yoonia vestfoldensis_B	GCF_002158905.1
s__Enterobacter cloacae_M	GCF_002208095.1
s__Campylobacter_B sputorum_B	GCF_002220775.1
s__Bacteroides caccae	GCF_002222615.2
s__Gibbsiella quercinecans	GCF_002291425.1
s__Pseudoalteromonas tunicata	GCF_002310815.1
s__Aulosira sp002368175	GCF_002368175.1
s__Brachybacterium ginsengisoli	GCF_002407065.1
s__Phaeobacter piscinae	GCF_002407245.1
s__Caulobacter mirabilis	GCF_002749615.1
s__Methylosinus trichosporium	GCF_002752655.1
s__Nonlabens sp002831625	GCF_002831625.1
s__Herbivorax saccincola	GCF_002844395.1
s__Chlamydophila abortus	GCF_002895085.1
s__Latilactobacillus sakei_A	GCF_002953655.1
s__Megasphaera elsdenii	GCF_003010495.1
s__Homoserinimonas hongtaonis	GCF_003065485.1
s__Asp313 sp003073475	GCF_003073475.1
s__Saliniradius amylolyticus	GCF_003143555.1
